Artist,Country,Number of finishes in top 100
Drake,Canada,13
Dua Lipa,United Kingdom,4
The Weeknd,Canada,8
Ed Sheeran,United Kingdom,3
Harry Styles,United Kingdom,5
Glass Animals,United Kingdom,1
Fleetwood Mac,United Kingdom,1
Justin Bieber,Canada,11
The Beatles,United Kingdom,9
Lewis Capaldi,United Kingdom,3
Queen,United Kingdom,4
BTS,South Korea,5
Elton John,United Kingdom,2
Sam Smith,United Kingdom,1
The Kid LAROI,Australia,1
Lorde,New Zealand,1
Adele,United Kingdom,1
The Rolling Stones,United Kingdom,2
Ella Mai,United Kingdom,5
Bastille,United Kingdom,1
Paul McCartney,United Kingdom,2
Coldplay,United Kingdom,1
James Arthur,United Kingdom,2
Depeche Mode,United Kingdom,1
Liam Payne,United Kingdom,1
Calvin Harris,United Kingdom,1
Zayn,United Kingdom,8
Roger Waters,United Kingdom,4
One Direction,United Kingdom,13
Ellie Goulding,United Kingdom,10
James Bay,United Kingdom,1
David Bowie,United Kingdom,4
Mark Ronson,United Kingdom,2
Mumford & Sons,United Kingdom,8
Charli XCX,United Kingdom,7
Passenger,United Kingdom,2
Disclosure,United Kingdom,8
Arctic Monkeys,United Kingdom,5
Rod Stewart,United Kingdom,1
Muse,United Kingdom,2
The Wanted,United Kingdom,3
Florence + The Machine,United Kingdom,1
Jessie J,United Kingdom,1
Alex Clare,United Kingdom,4
Take That,United Kingdom,1
Susan Boyle,United Kingdom,3
Taio Cruz,United Kingdom,1
Jay Sean,United Kingdom,1
Sade,United Kingdom,2
La Roux,United Kingdom,1
Leona Lewis,United Kingdom,1
Masked Wolf,Australia,1
Natasha Bedingfield,United Kingdom,1
Amy Winehouse,United Kingdom,1
James Blunt,United Kingdom,1
Snow Patrol,United Kingdom,1
Taylor Swift,USA,9
Morgan Wallen,USA,4
Ariana Grande,USA,1
Doja Cat,USA,4
H.E.R.,France,2
Luke Combs,USA,4
Pop Smoke,USA,3
Billie Eilish,USA,5
Lil Baby,USA,7
Lil Durk,USA,7
Polo G,USA,7
Lil Nas X,USA,2
Juice WRLD,USA,2
Megan Thee Stallion,USA,4
Tate McRae,Canada,1
Rod Wave,USA,7
DaBaby,USA,1
Kanye West,USA,2
Moneybagg Yo,USA,1
Post Malone,USA,6
Chris Stapleton,USA,2
J. Cole,USA,5
YoungBoy Never Broke Again,USA,1
AC/DC,Australia,2
Giveon,USA,1
SZA,USA,1
Young Thug,USA,4
Cardi B,USA,1
Jack Harlow,USA,1
Lil Uzi Vert,USA,1
Bruno Mars,USA,1
Gabby Barrett,USA,1
Machine Gun Kelly,USA,1
Pooh Shiesty,USA,2
Future,USA,1
Travis Scott,USA,1
24kGoldn,USA,1
Lil Tjay,USA,2
Eminem,USA,2
Roddy Ricch,USA,1
Luke Bryan,USA,1
Kendrick Lamar,USA,1
Walker Hayes,USA,1
"Tyler, The Creator",USA,2
Dan + Shay,USA,1
Thomas Rhett,USA,1
Chris Brown,USA,15
AJR,USA,3
Tones And I,Australia,1
Kid Cudi,USA,2
DJ Khaled,USA,5
Florida Georgia Line,USA,2
Gunna,USA,3
Anderson .Paak,USA,4
Khalid,USA,2
Maroon 5,USA,3
Ava Max,USA,3
Jason Aldean,USA,2
Kane Brown,USA,3
Migos,USA,13
Carrie Underwood,USA,5
Shawn Mendes,Canada,6
King Von,USA,6
Celine Dion,Canada,4
Saweetie,USA,8
Michael Jackson,USA,4
Kali Uchis,USA,1
Tory Lanez,Canada,2
XXXTENTACION,USA,3
Miley Cyrus,USA,5
blackbear,USA,5
U2,Ireland,5
Lee Brice,USA,2
Guns N' Roses,USA,6
Mariah Carey,USA,10
Eagles,USA,2
BLEU,USA,1
Miranda Lambert,USA,8
Imagine Dragons,USA,6
Trippie Redd,USA,1
CJ,USA,2
Playboi Carti,USA,14
Sam Hunt,USA,2
Jhene Aiko,USA,12
Eric Church,USA,8
Creedence Clearwater Revival,USA,2
Lizzo,USA,4
5 Seconds Of Summer,Australia,5
Jonas Brothers,USA,7
Maren Morris,USA,15
Halsey,USA,1
Selena Gomez,USA,2
Michael Buble,Canada,6
Camila Cabello,USA,6
Lady Gaga,USA,8
Lil Mosey,USA,4
SAINt JHN,USA,1
Trevor Daniel,USA,5
Summer Walker,USA,13
Blake Shelton,USA,2
Arizona Zervas,USA,13
A Boogie Wit da Hoodie,USA,5
Mustard,USA,4
Mac Miller,USA,12
JACKBOYS,USA,1
Don Toliver,USA,1
YNW Melly,USA,7
Old Dominion,USA,1
NF,USA,5
NLE Choppa,USA,8
Lil Wayne,USA,2
Surfaces,USA,4
Trans-Siberian Orchestra,USA,3
Lil Tecca,USA,6
Lil Pump,Morocco,1
Jon Pardi,USA,6
SHAED,USA,1
Marshmello,USA,7
Kenny Chesney,USA,7
J Balvin,Colombia,1
Kimbra,New Zealand,1
Maddie & Tae,USA,3
Panic! At The Disco,USA,1
Meek Mill,USA,2
P!nk,USA,5
EXO,South Korea,1
Kodak Black,USA,3
21 Savage,USA,9
Keith Urban,Australia,9
Swae Lee,USA,1
Lauren Daigle,USA,4
Metallica,USA,3
Bradley Cooper,USA,8
Normani,USA,5
twenty one pilots,USA,12
Billy Ray Cyrus,USA,1
Offset,USA,1
City Girls,USA,2
Blueface,USA,11
Alessia Cara,Canada,2
Niall Horan,Ireland,1
Billy Joel,USA,1
Backstreet Boys,USA,3
Bazzi,USA,1
6ix9ine,USA,1
Sheck Wes,USA,1
Bad Bunny,Puerto Rico,2
Maluma,Colombia,1
French Montana,Morocco,1
Ozuna,Puerto Rico,1
Nipsey Hussle,USA,2
benny blanco,USA,2
Justin Timberlake,USA,3
Nicki Minaj,USA,1
Demi Lovato,USA,9
Bebe Rexha,USA,1
G-Eazy,USA,1
Beyonce,USA,2
Logic,USA,2
JAY-Z,USA,1
Charlie Puth,USA,3
Rich The Kid,USA,13
Brett Young,USA,1
Childish Gambino,USA,4
Portugal. The Man,USA,2
Sia,Australia,4
Zedd,Germany,2
Lil Skies,USA,11
BlocBoy JB,USA,3
Lauv,USA,3
Metro Boomin,USA,1
Pentatonix,USA,2
Rihanna,USA,2
The Carters,USA,1
Lukas Graham,Denmark,1
Ty Dolla $ign,USA,1
Gucci Mane,USA,5
Journey,USA,1
Foo Fighters,USA,2
The Chainsmokers,USA,1
Rae Sremmurd,USA,6
Big Sean,USA,1
Katy Perry,USA,2
DJ Snake,France,3
Julia Michaels,USA,9
Troye Sivan,Australia,1
Linkin Park,USA,8
Chance The Rapper,USA,2
Bryson Tiller,USA,2
Quavo,USA,12
Red Hot Chili Peppers,USA,3
Tom Petty And The Heartbreakers,USA,9
John Mayer,USA,1
2 Chainz,USA,2
Zac Brown Band,USA,3
Kesha,USA,2
Bruce Springsteen,USA,1
Meghan Trainor,USA,1
Prince,USA,1
Desiigner,USA,1
Shelley FKA DRAM,Germany,1
Fetty Wap,USA,4
Fifth Harmony,USA,1
Hozier,Ireland,1
Flo Rida,USA,2
Kevin Gates,USA,3
DNCE,USA,2
OMI,Jamaica,1
Luis Fonsi,Puerto Rico,4
Mike Posner,USA,3
Daya,USA,2
Madonna,USA,3
David Guetta,France,5
Major Lazer,USA,3
Jeremih,USA,6
Wiz Khalifa,USA,2
Shania Twain,Canada,1
X Ambassadors,USA,2
Britney Spears,USA,1
Vance Joy,Australia,1
Elle King,USA,3
Cole Swindell,USA,1
Kiiara,USA,4
Tim McGraw,USA,9
Dierks Bentley,USA,1
Disturbed,USA,4
Jennifer Lopez,USA,3
Nick Jonas,USA,1
gnash,USA,1
WALK THE MOON,USA,2
Fall Out Boy,USA,7
Enrique Iglesias,Spain,4
Jason Derulo,USA,1
Daddy Yankee,Puerto Rico,1
Silento,USA,1
Rachel Platten,USA,3
Don Omar,Puerto Rico,4
Andy Grammer,USA,1
Pitbull,USA,5
Nico & Vinz,Norway,1
Shakira,Colombia,5
Iggy Azalea,USA,2
Little Big Town,USA,4
Trey Songz,USA,6
Omarion,USA,2
Ne-Yo,USA,8
Kid Ink,USA,2
Rich Homie Quan,USA,3
Neil Diamond,USA,1
Lana Del Rey,USA,3
A$AP Rocky,USA,1
Usher,USA,6
Grateful Dead,USA,2
Garth Brooks,USA,1
Martin Garrix,Holland,1
Kelly Clarkson,USA,1
T-Wayne,USA,4
Pharrell Williams,USA,4
John Legend,USA,1
OneRepublic,USA,1
MAGIC!,USA,1
Brantley Gilbert,USA,3
Bob Marley And The Wailers,Jamaica,1
Idina Menzel,USA,5
Lady A,USA,1
YG,USA,6
American Authors,USA,2
Juicy J,USA,1
ScHoolboy Q,USA,1
George Strait,USA,4
Paramore,USA,2
Austin Mahone,USA,5
Snoop Dogg,USA,1
Daft Punk,France,1
Aloe Blacc,USA,3
Romeo Santos,USA,1
fun.,Italy,2
PSY,South Korea,2
A Great Big World,USA,2
Lil Jon,USA,1
Cher,USA,1
Miguel,Mexico,3
Becky G,USA,1
Rascal Flatts,USA,1
MKTO,USA,6
Sara Bareilles,USA,1
Christina Aguilera,USA,1
Of Monsters And Men,Iceland,1
Macklemore & Ryan Lewis,USA,1
Tove Lo,Sweden,1
Robin Thicke,USA,1
Avril Lavigne,Canada,3
The Lumineers,USA,4
Baauer,USA,3
Phillip Phillips,USA,1
Bon Jovi,USA,4
Avicii,Sweden,1
Hunter Hayes,USA,1
Carly Rae Jepsen,Canada,1
Gotye,Australia,1
Alicia Keys,USA,1
Ke$ha,USA,1
will.i.am,USA,1
The Band Perry,USA,1
Darius Rucker,USA,1
Anna Kendrick,USA,8
AWOLNATION,USA,1
T.I.,USA,3
Capital Cities,USA,4
Nickelback,Canada,5
Wanz,USA,3
Brad Paisley,USA,2
Wale,USA,1
Randy Houser,USA,2
LMFAO,USA,2
Whitney Houston,USA,3
Skrillex,USA,2
Toby Keith,USA,4
Train,USA,3
Tyga,USA,1
Swedish House Mafia,Sweden,2
The Black Keys,USA,1
Selena Gomez & The Scene,USA,7
Jason Mraz,USA,1
B.o.B,Jamaica,2
Andrea Bocelli,Italy,2
Gym Class Heroes,USA,6
Foster The People,USA,1
Neon Trees,USA,1
Lionel Richie,USA,2
Van Halen,USA,1
Dave Matthews Band,USA,3
Young Jeezy,USA,1
Icona Pop,Sweden,2
Rick Ross,USA,1
Mary J. Blige,USA,2
Kip Moore,USA,3
Scotty McCreery,USA,1
Gavin DeGraw,USA,2
Glee Cast,USA,2
The Script,Ireland,2
The Black Eyed Peas,USA,1
CeeLo Green,USA,1
Akon,Senegal,1
Lupe Fiasco,USA,2
Nelly,USA,4
Sugarland,USA,1
Keri Hilson,USA,2
50 Cent,USA,1
Bad Meets Evil,USA,3
Kid Rock,USA,4
Josh Groban,USA,1
Waka Flocka Flame,USA,3
Ludacris,USA,5
Hot Chelle Rae,USA,2
Thompson Square,USA,2
Far*East Movement,USA,1
